Figure,Group,Alpha_diversity
S3E,IL17+/-,4.35
S3E,IL17+/-,4.7
S3E,IL17+/-,4.52
S3E,IL17+/-,4.43
S3E,IL17+/-,4.38
S3E,IL17+/-,4.06
S3E,IL17+/-,4.55
S3E,IL17+/-,4.45
S3E,IL17+/-,4.36
S3E,IL17+/-,3.49
S3E,IL17+/-,3.53
S3E,IL17+/-,4.7
S3E,IL17+/-,4.47
S3E,IL17+/-,3.83
S3E,IL17+/-,4.31
S3E,IL17-/-,4.2
S3E,IL17-/-,4.24
S3E,IL17-/-,4.1
S3E,IL17-/-,4.32
S3E,IL17-/-,4.53
S3E,IL17-/-,4.36
S3E,IL17-/-,4.53
S3E,IL17-/-,4.79
S3E,IL17-/-,4.62
S3E,IL17-/-,4.67
S3E,IL17-/-,4.5
S3E,IL17-/-,4.52
S3E,IL17-/-,4.04
S3E,IL17-/-,4.51
S3E,IL17-/-,4.54
S3E,IL17-/-,4.69
S3E,IL17-/-,4.39
S3E,IL17-/-,4.48
S3E,IL17-/-,4.62
S3E,IL17-/-,4.88
S3E,IL17-/-,4.43
S3E,IL17-/-,4.57
S3E,IL17-/-,4.77
S3E,IL17-/-,4.65
